# classification: /scratch/maposto/output.sample1.July-1-2021.LR_isoseq/sqanti3/sample1/duplicate_1/sample1.transcriptome.sqanti3_classification.txt
# isoform: sqanti3/sample1/duplicate_1/sample1.transcriptome.sqanti3_corrected.fasta
# intrapriming cutoff: 0.6
# min_cov cutoff: 3
filtered_isoform,reason
PB.648.1,LowCoverage/Non-Canonical
PB.69.3,IntraPriming
PB.70.2,IntraPriming
PB.71.1,IntraPriming
PB.71.2,IntraPriming
PB.73.1,IntraPriming
PB.79.1,LowCoverage/Non-Canonical
PB.79.3,LowCoverage/Non-Canonical
PB.79.4,LowCoverage/Non-Canonical
PB.81.2,IntraPriming
PB.81.4,IntraPriming
PB.82.4,IntraPriming
PB.82.6,IntraPriming
PB.84.5,LowCoverage/Non-Canonical
PB.87.4,LowCoverage/Non-Canonical
PB.92.1,IntraPriming
PB.95.3,LowCoverage/Non-Canonical
PB.95.5,LowCoverage/Non-Canonical
PB.97.1,RTSwitching
PB.97.2,LowCoverage/Non-Canonical
PB.97.3,LowCoverage/Non-Canonical
PB.97.4,LowCoverage/Non-Canonical
PB.99.2,RTSwitching
PB.2882.2,IntraPriming
PB.2882.4,IntraPriming
PB.2882.5,IntraPriming
PB.2883.1,LowCoverage/Non-Canonical
PB.2890.2,LowCoverage/Non-Canonical
PB.2893.2,LowCoverage/Non-Canonical
PB.2900.1,RTSwitching
PB.2900.2,LowCoverage/Non-Canonical
PB.2900.3,LowCoverage/Non-Canonical
PB.2900.4,LowCoverage/Non-Canonical
PB.2902.3,IntraPriming
PB.2902.4,IntraPriming
PB.2902.6,IntraPriming
PB.2910.1,IntraPriming
PB.2918.1,LowCoverage/Non-Canonical
PB.2921.4,IntraPriming
PB.2921.7,LowCoverage/Non-Canonical
PB.2922.1,LowCoverage/Non-Canonical
PB.2925.1,LowCoverage/Non-Canonical
PB.2928.3,RTSwitching
PB.2932.2,LowCoverage/Non-Canonical
PB.2932.7,RTSwitching
PB.2932.8,IntraPriming
PB.2933.2,IntraPriming
PB.2933.3,LowCoverage/Non-Canonical
PB.2935.1,IntraPriming
PB.2939.7,LowCoverage/Non-Canonical
PB.2940.2,IntraPriming
PB.2942.1,LowCoverage/Non-Canonical
PB.2943.2,RTSwitching
PB.2943.3,LowCoverage/Non-Canonical
PB.2943.6,LowCoverage/Non-Canonical
PB.2943.7,IntraPriming
PB.2944.1,IntraPriming
PB.2944.2,IntraPriming
PB.2947.1,RTSwitching
PB.2948.1,RTSwitching
PB.2952.13,LowCoverage/Non-Canonical
PB.2952.4,LowCoverage/Non-Canonical
PB.2960.2,IntraPriming
PB.2960.4,LowCoverage/Non-Canonical
PB.2962.1,IntraPriming
PB.2962.2,IntraPriming
PB.2962.3,IntraPriming
PB.2962.4,IntraPriming
PB.2975.1,LowCoverage/Non-Canonical
PB.2976.1,LowCoverage/Non-Canonical
PB.2977.11,LowCoverage/Non-Canonical
PB.2977.13,LowCoverage/Non-Canonical
PB.2979.5,IntraPriming
PB.2984.1,RTSwitching
PB.2985.3,IntraPriming
PB.2986.3,LowCoverage/Non-Canonical
PB.2988.4,LowCoverage/Non-Canonical
PB.2994.3,IntraPriming
PB.2994.4,IntraPriming
PB.2994.7,LowCoverage/Non-Canonical
PB.2999.1,LowCoverage/Non-Canonical
PB.3002.1,IntraPriming
PB.3002.2,IntraPriming
PB.3004.1,IntraPriming
PB.3012.1,IntraPriming
PB.3012.2,IntraPriming
PB.3012.3,LowCoverage/Non-Canonical
PB.3012.5,IntraPriming
PB.3015.1,RTSwitching
PB.3015.2,IntraPriming
PB.3015.3,IntraPriming
PB.3018.3,IntraPriming
PB.3018.4,IntraPriming
PB.3023.1,LowCoverage/Non-Canonical
PB.3023.10,LowCoverage/Non-Canonical
PB.3023.13,LowCoverage/Non-Canonical
PB.3023.14,LowCoverage/Non-Canonical
PB.3023.15,LowCoverage/Non-Canonical
PB.3023.16,LowCoverage/Non-Canonical
PB.3023.2,LowCoverage/Non-Canonical
PB.3023.3,LowCoverage/Non-Canonical
PB.3023.4,LowCoverage/Non-Canonical
PB.3023.5,LowCoverage/Non-Canonical
PB.3023.6,LowCoverage/Non-Canonical
PB.3023.7,LowCoverage/Non-Canonical
PB.3023.8,LowCoverage/Non-Canonical
PB.3023.9,LowCoverage/Non-Canonical
PB.3024.1,IntraPriming
PB.3025.1,RTSwitching
PB.3029.2,RTSwitching
PB.3031.3,LowCoverage/Non-Canonical
PB.3033.1,IntraPriming
PB.3035.5,LowCoverage/Non-Canonical
PB.3046.2,LowCoverage/Non-Canonical
PB.3047.2,RTSwitching
PB.3049.2,IntraPriming
PB.3050.10,LowCoverage/Non-Canonical
PB.3050.11,LowCoverage/Non-Canonical
PB.3050.2,LowCoverage/Non-Canonical
PB.3051.3,IntraPriming
PB.3067.2,LowCoverage/Non-Canonical
PB.3068.1,IntraPriming
PB.3071.1,RTSwitching
PB.3078.2,IntraPriming
PB.3081.1,RTSwitching
PB.3081.2,IntraPriming
PB.3087.1,RTSwitching
PB.3089.1,IntraPriming
PB.3089.2,IntraPriming
PB.3093.11,IntraPriming
PB.3093.12,IntraPriming
PB.3093.6,IntraPriming
PB.3093.7,IntraPriming
PB.3097.1,RTSwitching
PB.3101.3,IntraPriming
PB.3102.1,RTSwitching
PB.3110.11,LowCoverage/Non-Canonical
PB.3113.1,RTSwitching
PB.3117.1,LowCoverage/Non-Canonical
PB.3118.2,LowCoverage/Non-Canonical
PB.3118.3,LowCoverage/Non-Canonical
PB.3137.8,LowCoverage/Non-Canonical
PB.3140.1,LowCoverage/Non-Canonical
PB.3142.7,LowCoverage/Non-Canonical
PB.3151.6,IntraPriming
PB.3160.1,RTSwitching
PB.3160.3,LowCoverage/Non-Canonical
PB.3165.1,LowCoverage/Non-Canonical
PB.3165.2,LowCoverage/Non-Canonical
PB.3169.1,RTSwitching
PB.3171.2,IntraPriming
PB.3173.1,LowCoverage/Non-Canonical
PB.3174.1,IntraPriming
PB.3176.10,RTSwitching
PB.3176.14,LowCoverage/Non-Canonical
PB.3176.7,LowCoverage/Non-Canonical
PB.3177.1,IntraPriming
PB.3177.2,IntraPriming
PB.3177.4,IntraPriming
PB.3177.5,IntraPriming
PB.3180.1,IntraPriming
PB.3180.2,IntraPriming
PB.3180.3,IntraPriming
PB.3181.3,LowCoverage/Non-Canonical
PB.3181.4,LowCoverage/Non-Canonical
PB.3184.1,LowCoverage/Non-Canonical
PB.3193.1,RTSwitching
PB.3194.4,IntraPriming
PB.3196.8,LowCoverage/Non-Canonical
PB.3201.1,IntraPriming
PB.3206.1,LowCoverage/Non-Canonical
PB.3207.1,IntraPriming
PB.3208.1,IntraPriming
PB.3216.1,LowCoverage/Non-Canonical
PB.3218.2,LowCoverage/Non-Canonical
PB.3221.2,RTSwitching
PB.3224.12,LowCoverage/Non-Canonical
PB.3224.13,LowCoverage/Non-Canonical
PB.3224.5,IntraPriming
PB.3231.4,IntraPriming
PB.3234.1,IntraPriming
PB.3234.2,IntraPriming
PB.3244.3,IntraPriming
PB.3249.1,RTSwitching
PB.3257.2,RTSwitching
PB.3258.6,LowCoverage/Non-Canonical
PB.3259.1,LowCoverage/Non-Canonical
PB.3264.1,IntraPriming
PB.3265.2,IntraPriming
PB.3266.2,LowCoverage/Non-Canonical
PB.3268.1,IntraPriming
PB.3269.1,IntraPriming
PB.3272.1,IntraPriming
PB.3272.2,IntraPriming
PB.3272.4,IntraPriming
PB.3272.5,LowCoverage/Non-Canonical
PB.3277.1,RTSwitching
PB.3277.4,RTSwitching
PB.3286.1,LowCoverage/Non-Canonical
PB.3287.2,RTSwitching
PB.3287.3,RTSwitching
PB.3288.1,LowCoverage/Non-Canonical
PB.3292.2,LowCoverage/Non-Canonical
PB.3292.4,RTSwitching
PB.3292.5,LowCoverage/Non-Canonical
PB.3305.1,LowCoverage/Non-Canonical
PB.3311.1,LowCoverage/Non-Canonical
PB.3312.1,RTSwitching
PB.3320.1,LowCoverage/Non-Canonical
PB.3329.3,LowCoverage/Non-Canonical
PB.3343.1,IntraPriming
PB.3347.1,IntraPriming
PB.3347.6,LowCoverage/Non-Canonical
PB.3366.1,LowCoverage/Non-Canonical
PB.3371.1,LowCoverage/Non-Canonical
PB.3372.1,IntraPriming
PB.3372.3,IntraPriming
PB.3374.1,LowCoverage/Non-Canonical
PB.3376.1,IntraPriming
PB.3378.1,LowCoverage/Non-Canonical
PB.3382.3,LowCoverage/Non-Canonical
PB.3382.4,LowCoverage/Non-Canonical
PB.3382.5,RTSwitching
PB.3388.1,LowCoverage/Non-Canonical
PB.3388.2,LowCoverage/Non-Canonical
PB.3395.1,IntraPriming
PB.3395.3,LowCoverage/Non-Canonical
PB.3395.4,LowCoverage/Non-Canonical
PB.3395.5,LowCoverage/Non-Canonical
PB.3396.2,LowCoverage/Non-Canonical
PB.3412.2,RTSwitching
PB.3417.2,LowCoverage/Non-Canonical
PB.3417.3,LowCoverage/Non-Canonical
PB.3418.1,RTSwitching
PB.3421.1,RTSwitching
PB.3425.1,RTSwitching
PB.3430.5,IntraPriming
PB.3431.3,LowCoverage/Non-Canonical
PB.3432.1,IntraPriming
PB.3433.1,LowCoverage/Non-Canonical
PB.3434.5,IntraPriming
PB.3434.6,IntraPriming
PB.3435.1,LowCoverage/Non-Canonical
PB.3442.1,IntraPriming
PB.3443.2,LowCoverage/Non-Canonical
PB.3445.1,RTSwitching
PB.3460.1,IntraPriming
PB.3463.2,LowCoverage/Non-Canonical
PB.3467.1,LowCoverage/Non-Canonical
PB.3470.1,LowCoverage/Non-Canonical
PB.3476.5,IntraPriming
PB.3477.5,LowCoverage/Non-Canonical
PB.3480.3,IntraPriming
PB.3482.1,RTSwitching
PB.3484.9,LowCoverage/Non-Canonical
PB.3493.2,RTSwitching
PB.3493.4,LowCoverage/Non-Canonical
PB.3494.1,IntraPriming
PB.3499.2,RTSwitching
PB.3500.12,LowCoverage/Non-Canonical
PB.3504.1,RTSwitching
PB.3503.1,LowCoverage/Non-Canonical
PB.3507.1,IntraPriming
PB.3512.1,LowCoverage/Non-Canonical
PB.3524.1,LowCoverage/Non-Canonical
PB.3527.1,LowCoverage/Non-Canonical
PB.3527.2,LowCoverage/Non-Canonical
PB.3527.3,LowCoverage/Non-Canonical
PB.3528.9,LowCoverage/Non-Canonical
PB.3529.1,RTSwitching
PB.3537.1,LowCoverage/Non-Canonical
PB.3546.5,IntraPriming
PB.3548.1,LowCoverage/Non-Canonical
PB.3552.5,RTSwitching
PB.3552.6,LowCoverage/Non-Canonical
PB.3553.4,IntraPriming
PB.3553.5,LowCoverage/Non-Canonical
PB.3553.7,LowCoverage/Non-Canonical
PB.3554.2,IntraPriming
PB.3561.2,IntraPriming
PB.3563.7,IntraPriming
PB.3564.1,IntraPriming
PB.3566.1,RTSwitching
PB.3569.3,LowCoverage/Non-Canonical
PB.3570.1,LowCoverage/Non-Canonical
PB.3572.3,LowCoverage/Non-Canonical
PB.3573.1,LowCoverage/Non-Canonical
PB.3575.1,IntraPriming
PB.3575.3,IntraPriming
PB.3577.2,IntraPriming
PB.3579.2,IntraPriming
PB.3585.5,IntraPriming
PB.3588.2,IntraPriming
PB.3591.1,LowCoverage/Non-Canonical
PB.3594.1,LowCoverage/Non-Canonical
PB.3594.2,LowCoverage/Non-Canonical
PB.3595.1,RTSwitching
PB.3598.1,LowCoverage/Non-Canonical
PB.3601.1,RTSwitching
PB.3602.1,LowCoverage/Non-Canonical
PB.3602.2,LowCoverage/Non-Canonical
PB.3607.3,LowCoverage/Non-Canonical
PB.3607.4,LowCoverage/Non-Canonical
PB.3607.5,LowCoverage/Non-Canonical
PB.3609.3,LowCoverage/Non-Canonical
PB.3612.4,LowCoverage/Non-Canonical
PB.3613.1,RTSwitching
PB.3613.14,LowCoverage/Non-Canonical
PB.3613.15,LowCoverage/Non-Canonical
PB.3613.9,LowCoverage/Non-Canonical
PB.3618.1,IntraPriming
PB.3623.3,IntraPriming
PB.3627.3,LowCoverage/Non-Canonical
PB.3630.1,LowCoverage/Non-Canonical
PB.3630.4,LowCoverage/Non-Canonical
PB.3630.6,RTSwitching
PB.3631.8,LowCoverage/Non-Canonical
PB.3643.1,LowCoverage/Non-Canonical
PB.3643.2,LowCoverage/Non-Canonical
PB.3645.12,LowCoverage/Non-Canonical
PB.3646.1,LowCoverage/Non-Canonical
PB.3647.1,IntraPriming
PB.3656.3,LowCoverage/Non-Canonical
PB.3660.3,LowCoverage/Non-Canonical
PB.3665.2,IntraPriming
PB.3668.2,IntraPriming
PB.3669.1,IntraPriming
PB.3669.2,RTSwitching
PB.3669.3,LowCoverage/Non-Canonical
PB.3678.2,IntraPriming
PB.3689.1,RTSwitching
PB.3690.3,IntraPriming
PB.3694.1,LowCoverage/Non-Canonical
PB.3695.1,LowCoverage/Non-Canonical
PB.3696.1,IntraPriming
PB.3697.1,LowCoverage/Non-Canonical
PB.3698.1,IntraPriming
PB.3699.3,LowCoverage/Non-Canonical
PB.3701.1,IntraPriming
PB.3706.4,IntraPriming
PB.3709.2,RTSwitching
PB.3711.1,IntraPriming
PB.3717.2,IntraPriming
PB.3717.3,IntraPriming
PB.3718.2,IntraPriming
PB.3719.1,LowCoverage/Non-Canonical
PB.3721.1,LowCoverage/Non-Canonical
PB.3725.1,LowCoverage/Non-Canonical
PB.3726.2,RTSwitching
PB.3726.4,IntraPriming
PB.3726.5,IntraPriming
PB.3727.1,IntraPriming
PB.3731.1,LowCoverage/Non-Canonical
PB.3732.3,IntraPriming
PB.3733.1,IntraPriming
PB.3734.1,IntraPriming
PB.3746.1,LowCoverage/Non-Canonical
PB.3751.2,IntraPriming
PB.3753.1,IntraPriming
PB.3755.5,IntraPriming
PB.3755.6,IntraPriming
PB.3755.8,IntraPriming
PB.3756.1,IntraPriming
PB.3758.4,LowCoverage/Non-Canonical
PB.3761.1,RTSwitching
PB.3763.1,IntraPriming
PB.3767.1,IntraPriming
PB.3769.1,LowCoverage/Non-Canonical
PB.3769.11,IntraPriming
PB.3769.5,LowCoverage/Non-Canonical
PB.3769.8,LowCoverage/Non-Canonical
PB.3772.2,LowCoverage/Non-Canonical
PB.3776.1,IntraPriming
PB.3779.1,LowCoverage/Non-Canonical
PB.3783.1,LowCoverage/Non-Canonical
PB.3785.7,IntraPriming
PB.3788.2,LowCoverage/Non-Canonical
PB.3788.3,LowCoverage/Non-Canonical
PB.3793.2,LowCoverage/Non-Canonical
PB.3797.1,LowCoverage/Non-Canonical
PB.3801.1,RTSwitching
PB.3806.2,IntraPriming
PB.3808.1,LowCoverage/Non-Canonical
PB.3813.1,RTSwitching
PB.3813.5,LowCoverage/Non-Canonical
PB.3814.2,LowCoverage/Non-Canonical
PB.3822.1,IntraPriming
PB.3823.1,IntraPriming
PB.3824.1,LowCoverage/Non-Canonical
PB.3827.1,RTSwitching
PB.3828.1,IntraPriming
PB.3834.2,IntraPriming
PB.3838.2,LowCoverage/Non-Canonical
PB.3839.1,IntraPriming
PB.3844.1,IntraPriming
PB.3844.2,IntraPriming
PB.3844.3,IntraPriming
PB.3847.3,LowCoverage/Non-Canonical
PB.3852.1,RTSwitching
PB.3856.1,RTSwitching
PB.3862.1,LowCoverage/Non-Canonical
PB.3867.1,IntraPriming
PB.3871.2,IntraPriming
PB.3880.1,LowCoverage/Non-Canonical
PB.3881.5,IntraPriming
PB.3881.6,IntraPriming
PB.3881.9,IntraPriming
PB.3882.1,IntraPriming
PB.3885.2,IntraPriming
PB.3893.5,LowCoverage/Non-Canonical
PB.3896.1,IntraPriming
PB.3900.1,LowCoverage/Non-Canonical
PB.3901.1,IntraPriming
PB.3902.1,LowCoverage/Non-Canonical
PB.3902.3,IntraPriming
PB.3914.1,LowCoverage/Non-Canonical
PB.3918.1,LowCoverage/Non-Canonical
PB.3925.1,LowCoverage/Non-Canonical
PB.3925.2,LowCoverage/Non-Canonical
PB.3926.1,IntraPriming
PB.3927.1,LowCoverage/Non-Canonical
PB.3927.2,LowCoverage/Non-Canonical
PB.3928.1,IntraPriming
PB.3933.1,LowCoverage/Non-Canonical
PB.3935.1,LowCoverage/Non-Canonical
PB.3935.3,LowCoverage/Non-Canonical
PB.3935.4,LowCoverage/Non-Canonical
PB.3939.1,IntraPriming
PB.3939.2,IntraPriming
PB.3940.1,RTSwitching
PB.3944.1,RTSwitching
PB.3949.2,LowCoverage/Non-Canonical
PB.3951.1,LowCoverage/Non-Canonical
PB.3951.2,LowCoverage/Non-Canonical
PB.3951.3,LowCoverage/Non-Canonical
PB.3966.16,LowCoverage/Non-Canonical
PB.3967.10,IntraPriming
PB.3967.6,LowCoverage/Non-Canonical
PB.3970.1,RTSwitching
PB.3976.1,LowCoverage/Non-Canonical
PB.3980.2,LowCoverage/Non-Canonical
PB.3986.4,IntraPriming
PB.3987.1,IntraPriming
PB.3998.1,RTSwitching
PB.4006.1,IntraPriming
PB.4006.3,LowCoverage/Non-Canonical
PB.4008.1,IntraPriming
PB.4016.1,IntraPriming
PB.4016.3,IntraPriming
PB.4017.1,LowCoverage/Non-Canonical
PB.4017.2,LowCoverage/Non-Canonical
PB.4018.1,LowCoverage/Non-Canonical
PB.4020.1,IntraPriming
PB.4022.1,RTSwitching
PB.4030.1,LowCoverage/Non-Canonical
PB.4031.1,LowCoverage/Non-Canonical
PB.4031.2,LowCoverage/Non-Canonical
PB.4031.3,LowCoverage/Non-Canonical
PB.4041.1,LowCoverage/Non-Canonical
PB.4043.4,IntraPriming
PB.4043.5,IntraPriming
PB.4044.1,LowCoverage/Non-Canonical
PB.4047.7,IntraPriming
PB.4047.8,IntraPriming
PB.4047.9,IntraPriming
PB.4052.1,LowCoverage/Non-Canonical
PB.4053.5,IntraPriming
PB.4055.1,IntraPriming
PB.4056.6,IntraPriming
PB.4063.3,IntraPriming
PB.4063.4,IntraPriming
PB.4070.1,IntraPriming
PB.4071.5,IntraPriming
PB.4073.1,RTSwitching
PB.4075.2,IntraPriming
PB.4080.1,IntraPriming
PB.4083.2,IntraPriming
PB.4087.7,IntraPriming
PB.4088.3,IntraPriming
PB.4088.5,LowCoverage/Non-Canonical
PB.4088.6,LowCoverage/Non-Canonical
PB.4089.1,RTSwitching
PB.4090.1,IntraPriming
PB.4093.1,IntraPriming
PB.4093.3,LowCoverage/Non-Canonical
PB.4094.1,LowCoverage/Non-Canonical
PB.4095.1,LowCoverage/Non-Canonical
PB.4096.1,IntraPriming
PB.4100.2,RTSwitching
PB.4105.1,LowCoverage/Non-Canonical
PB.4105.2,LowCoverage/Non-Canonical
PB.4105.3,LowCoverage/Non-Canonical
PB.4105.4,LowCoverage/Non-Canonical
PB.4106.5,LowCoverage/Non-Canonical
PB.4108.1,RTSwitching
PB.4108.2,IntraPriming
PB.4112.1,LowCoverage/Non-Canonical
PB.4112.2,LowCoverage/Non-Canonical
PB.4112.3,LowCoverage/Non-Canonical
PB.4117.1,LowCoverage/Non-Canonical
PB.4118.1,LowCoverage/Non-Canonical
PB.4128.3,IntraPriming
PB.4130.9,LowCoverage/Non-Canonical
PB.4133.1,LowCoverage/Non-Canonical
PB.4137.1,IntraPriming
PB.4138.3,LowCoverage/Non-Canonical
PB.4140.1,IntraPriming
PB.4143.1,IntraPriming
PB.4144.1,RTSwitching
PB.4149.11,LowCoverage/Non-Canonical
PB.4150.1,LowCoverage/Non-Canonical
PB.4153.1,LowCoverage/Non-Canonical
PB.4155.2,IntraPriming
PB.4155.6,IntraPriming
PB.4156.1,IntraPriming
PB.4157.1,RTSwitching
PB.4159.10,IntraPriming
PB.4159.11,IntraPriming
PB.4161.2,LowCoverage/Non-Canonical
PB.4171.1,LowCoverage/Non-Canonical
PB.4175.1,RTSwitching
PB.4186.12,LowCoverage/Non-Canonical
PB.4187.1,RTSwitching
PB.4190.1,LowCoverage/Non-Canonical
PB.4190.2,LowCoverage/Non-Canonical
PB.4193.1,RTSwitching
PB.4194.1,RTSwitching
PB.4198.1,LowCoverage/Non-Canonical
PB.4198.2,IntraPriming
PB.4198.3,LowCoverage/Non-Canonical
PB.4203.1,LowCoverage/Non-Canonical
PB.4203.2,LowCoverage/Non-Canonical
PB.4204.1,IntraPriming
PB.4204.2,IntraPriming
PB.4216.2,IntraPriming
PB.4227.1,LowCoverage/Non-Canonical
PB.4231.2,IntraPriming
PB.4232.1,LowCoverage/Non-Canonical
PB.4236.1,IntraPriming
PB.4237.1,LowCoverage/Non-Canonical
PB.4239.3,IntraPriming
PB.4245.15,LowCoverage/Non-Canonical
PB.4249.4,LowCoverage/Non-Canonical
PB.4265.1,LowCoverage/Non-Canonical
PB.4267.2,RTSwitching
PB.4269.2,IntraPriming
PB.4277.19,IntraPriming
PB.4282.1,RTSwitching
PB.4293.2,IntraPriming
PB.4303.4,IntraPriming
PB.4307.1,IntraPriming
PB.4312.3,LowCoverage/Non-Canonical
PB.4313.1,LowCoverage/Non-Canonical
PB.4315.1,RTSwitching
PB.4317.1,RTSwitching
PB.4319.2,RTSwitching
PB.4319.6,LowCoverage/Non-Canonical
PB.4322.10,LowCoverage/Non-Canonical
PB.4323.1,RTSwitching
PB.4329.2,RTSwitching
PB.4332.1,RTSwitching
PB.4346.2,IntraPriming
PB.4349.3,LowCoverage/Non-Canonical
PB.4351.1,LowCoverage/Non-Canonical
PB.4351.2,LowCoverage/Non-Canonical
PB.4351.3,LowCoverage/Non-Canonical
PB.4351.4,LowCoverage/Non-Canonical
PB.4351.5,LowCoverage/Non-Canonical
PB.4359.1,LowCoverage/Non-Canonical
PB.4369.1,IntraPriming
PB.4379.1,IntraPriming
PB.4382.2,IntraPriming
PB.4382.3,IntraPriming
PB.4383.2,IntraPriming
PB.4387.1,IntraPriming
PB.4397.2,IntraPriming
PB.4398.1,IntraPriming
PB.4398.2,IntraPriming
PB.4398.3,IntraPriming
PB.4407.2,LowCoverage/Non-Canonical
PB.4416.1,RTSwitching
PB.4418.1,RTSwitching
PB.4431.1,RTSwitching
PB.4431.2,LowCoverage/Non-Canonical
PB.4438.2,LowCoverage/Non-Canonical
PB.4442.1,RTSwitching
PB.4442.2,LowCoverage/Non-Canonical
PB.4442.3,IntraPriming
PB.4442.4,IntraPriming
PB.4442.5,LowCoverage/Non-Canonical
PB.4443.1,LowCoverage/Non-Canonical
PB.4450.1,LowCoverage/Non-Canonical
PB.4465.2,RTSwitching
PB.4465.3,LowCoverage/Non-Canonical
PB.4465.4,LowCoverage/Non-Canonical
PB.4465.5,LowCoverage/Non-Canonical
PB.4465.6,LowCoverage/Non-Canonical
PB.4471.1,LowCoverage/Non-Canonical
PB.4476.2,RTSwitching
PB.4478.4,IntraPriming
PB.4481.1,LowCoverage/Non-Canonical
PB.4482.1,LowCoverage/Non-Canonical
PB.4487.4,RTSwitching
PB.4494.2,LowCoverage/Non-Canonical
PB.4494.4,LowCoverage/Non-Canonical
PB.4495.1,IntraPriming
PB.4496.3,IntraPriming
PB.4497.2,LowCoverage/Non-Canonical
PB.4498.2,IntraPriming
PB.4498.3,IntraPriming
PB.4508.3,LowCoverage/Non-Canonical
PB.4514.2,IntraPriming
PB.4514.3,IntraPriming
PB.4524.1,LowCoverage/Non-Canonical
PB.4524.2,LowCoverage/Non-Canonical
PB.4524.3,LowCoverage/Non-Canonical
PB.4524.7,LowCoverage/Non-Canonical
PB.4529.1,RTSwitching
PB.4529.2,LowCoverage/Non-Canonical
PB.4532.2,LowCoverage/Non-Canonical
PB.4533.1,LowCoverage/Non-Canonical
PB.4534.1,LowCoverage/Non-Canonical
PB.4537.1,LowCoverage/Non-Canonical
PB.4545.1,LowCoverage/Non-Canonical
PB.4547.1,RTSwitching
PB.4548.2,LowCoverage/Non-Canonical
PB.4549.1,RTSwitching
PB.4561.1,IntraPriming
PB.4563.1,RTSwitching
PB.4564.1,IntraPriming
PB.4567.1,IntraPriming
PB.4569.2,LowCoverage/Non-Canonical
PB.4569.3,LowCoverage/Non-Canonical
PB.4569.4,LowCoverage/Non-Canonical
PB.4577.2,LowCoverage/Non-Canonical
PB.4578.1,RTSwitching
PB.4583.1,LowCoverage/Non-Canonical
PB.4593.1,LowCoverage/Non-Canonical
PB.4600.3,IntraPriming
PB.4600.4,IntraPriming
PB.4600.5,IntraPriming
PB.4603.1,LowCoverage/Non-Canonical
PB.4611.1,RTSwitching
PB.4611.7,IntraPriming
PB.4625.2,IntraPriming
PB.4627.4,LowCoverage/Non-Canonical
PB.4628.1,RTSwitching
PB.4630.1,RTSwitching
PB.4636.1,RTSwitching
PB.4639.1,LowCoverage/Non-Canonical
PB.4642.2,IntraPriming
PB.4642.3,IntraPriming
PB.4645.2,IntraPriming
PB.4645.4,IntraPriming
PB.4646.1,LowCoverage/Non-Canonical
PB.4646.2,IntraPriming
PB.4646.3,IntraPriming
PB.4657.1,RTSwitching
PB.4665.2,IntraPriming
PB.4684.15,LowCoverage/Non-Canonical
PB.4686.1,RTSwitching
PB.4692.1,LowCoverage/Non-Canonical
PB.4692.3,LowCoverage/Non-Canonical
PB.4692.4,LowCoverage/Non-Canonical
PB.4697.3,LowCoverage/Non-Canonical
PB.4703.6,LowCoverage/Non-Canonical
PB.4703.7,LowCoverage/Non-Canonical
PB.4704.10,IntraPriming
PB.4704.24,IntraPriming
PB.4704.9,IntraPriming
PB.4705.3,IntraPriming
PB.4706.1,LowCoverage/Non-Canonical
PB.4718.1,LowCoverage/Non-Canonical
PB.4719.3,IntraPriming
PB.4724.1,RTSwitching
PB.4730.5,LowCoverage/Non-Canonical
PB.4730.6,LowCoverage/Non-Canonical
PB.4734.1,RTSwitching
PB.4736.2,RTSwitching
PB.4737.2,RTSwitching
PB.4738.1,LowCoverage/Non-Canonical
PB.4753.1,LowCoverage/Non-Canonical
PB.4754.1,IntraPriming
PB.4755.1,LowCoverage/Non-Canonical
PB.4758.1,LowCoverage/Non-Canonical
PB.4763.3,LowCoverage/Non-Canonical
PB.4763.8,LowCoverage/Non-Canonical
PB.4763.9,LowCoverage/Non-Canonical
PB.4771.2,IntraPriming
PB.4775.3,LowCoverage/Non-Canonical
PB.4776.6,LowCoverage/Non-Canonical
PB.4783.2,IntraPriming
PB.4787.4,LowCoverage/Non-Canonical
PB.4789.3,IntraPriming
PB.4793.2,IntraPriming
PB.4795.1,LowCoverage/Non-Canonical
PB.4797.5,LowCoverage/Non-Canonical
PB.4802.1,IntraPriming
PB.4805.1,IntraPriming
PB.4811.1,LowCoverage/Non-Canonical
PB.4811.2,LowCoverage/Non-Canonical
PB.4816.3,IntraPriming
PB.4817.1,LowCoverage/Non-Canonical
PB.4820.4,IntraPriming
PB.4821.1,IntraPriming
PB.4821.3,IntraPriming
PB.4821.5,LowCoverage/Non-Canonical
PB.4822.3,RTSwitching
PB.4822.6,IntraPriming
PB.4825.8,LowCoverage/Non-Canonical
PB.4827.1,RTSwitching
PB.4828.1,IntraPriming
PB.4829.1,LowCoverage/Non-Canonical
PB.4831.1,LowCoverage/Non-Canonical
PB.4832.1,LowCoverage/Non-Canonical
PB.4837.1,LowCoverage/Non-Canonical
PB.4839.1,RTSwitching
PB.4844.2,LowCoverage/Non-Canonical
PB.4848.1,LowCoverage/Non-Canonical
PB.4848.2,LowCoverage/Non-Canonical
PB.4851.2,IntraPriming
PB.4855.1,LowCoverage/Non-Canonical
PB.4859.7,IntraPriming
PB.4869.3,LowCoverage/Non-Canonical
PB.4872.2,LowCoverage/Non-Canonical
PB.4872.5,LowCoverage/Non-Canonical
PB.4873.1,LowCoverage/Non-Canonical
PB.4874.1,LowCoverage/Non-Canonical
PB.4875.3,LowCoverage/Non-Canonical
PB.4876.2,RTSwitching
PB.4876.5,LowCoverage/Non-Canonical
PB.4876.6,RTSwitching
PB.4877.3,LowCoverage/Non-Canonical
PB.4880.1,LowCoverage/Non-Canonical
PB.4882.1,LowCoverage/Non-Canonical
